,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Side,Same_Name,Family_Size,Group_Size,Total_Spending,VR_Spa,Room_Food,VR_Spa_Room_Food,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55_Cancri_e,Destination_PSO_J318_5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T
865,0.0,-0.2683182192085016,0.0,-0.3505565235549732,-0.004149108102191164,0.9297775834834222,-0.23802085545435026,-0.2536006986382486,0.0,0.0,1.4364063259629842,0.021862589545133343,-0.6269484266326703,-0.09118107403016418,-0.3231217626373172,-0.13136848582970212,-0.28420598615041054,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6153,0.0,-0.12877940179746347,0.0,-0.3505565235549732,3.9713977626290964,1.1969496994883881,-0.1431460333236064,0.7707278999342088,1.0,1.0,-0.010913777736589034,-1.4602837276895053,0.7856009494973908,2.7182782743006584,0.4123688854414541,3.591881964718895,2.5369875946789366,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6566,0.0,-0.2683182192085016,0.0,0.34456877568444616,-0.2857960515238739,-0.315244477099719,0.22203252733057757,-0.27329932553387276,0.0,0.0,0.4715262568299354,1.1334723274711123,0.07932626143236027,-0.1719287152978806,-0.033632643553512795,-0.14235364726431782,-0.11128995349202851,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4571,0.0,0.42937586784668896,0.0,-0.3505565235549732,0.41205417653268606,-0.315244477099719,-0.2765078116017275,3.2008221451489374,1.0,0.0,-0.4933538123031134,0.392399168853793,-0.6269484266326703,1.2635312317110825,1.921595695299093,0.2584216782469106,1.3581878134690524,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2522,1.0,-1.8032452107299208,0.0,-0.3505565235549732,-0.2857960515238739,-0.315244477099719,-0.2765078116017275,-0.27329932553387276,1.0,0.0,-1.4582338814361622,-1.0897471483808456,0.07932626143236027,-0.5276684782291886,-0.3613672763374133,-0.3951415321772909,-0.47546010922560317,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6646,0.0,-0.0012457739276029453,0.0,-0.3505565235549732,0.326590580321354,-0.315244477099719,0.3732952154446881,0.4546544774726026,0.0,1.0,-1.4582338814361622,-1.0897471483808456,0.07932626143236027,0.3777535087495924,0.54416880957717,0.17838177846808767,0.4514187509999107,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4413,0.0,0.6386840939632461,0.0,-0.3505565235549732,-0.18004253678754936,0.7801611985206414,-0.2765078116017275,-0.27329932553387276,1.0,0.0,-0.010913777736589034,0.021862589545133343,-0.6269484266326703,-0.24657691856358682,-0.3613672763374133,-0.29609935403371146,-0.41257128715113045,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3088,0.0,0.3596064591411699,0.0,0.5646653966281348,-0.2857960515238739,-0.315244477099719,-0.2765078116017275,0.01591233297915498,0.0,1.0,0.9539662913964597,2.2450820653970913,-0.6269484266326703,-0.2058597167822925,-0.17131649287385878,-0.062313747485494904,-0.1460250587075803,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7280,0.0,-1.1055511236747302,0.0,0.2923156210719158,-0.2857960515238739,-0.22262481021799746,-0.2765078116017275,0.07321742940278896,0.0,0.0,1.4364063259629842,0.021862589545133343,-0.6269484266326703,-0.22586114923626163,-0.1336593716922257,-0.16135592562907433,-0.1855133888473655,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5328,1.0,0.7084535026687652,0.0,-0.3505565235549732,-0.2857960515238739,-0.315244477099719,-0.2765078116017275,-0.27329932553387276,1.0,0.0,0.4715262568299354,-1.0897471483808456,-0.6269484266326703,-0.5276684782291886,-0.3613672763374133,-0.3951415321772909,-0.47546010922560317,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
